                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                  0.399,                0.27975,                 0.8748,                0.79725,                0.93075,                0.83835,                0.69363,                0.94645,                0.56686,                 1.2378,              0.0001882,              0.0001882,              0.0001882
                     84,                0.39846,                0.28013,                0.87717,                0.78652,                 0.9446,                0.84276,                0.70324,                0.89092,                0.57424,                 1.1893,              0.0001783,              0.0001783,              0.0001783
                     85,                0.40777,                0.28372,                0.88109,                0.80493,                0.92041,                0.85276,                0.70704,                0.93955,                0.56328,                 1.2323,              0.0001684,              0.0001684,              0.0001684
                     86,                0.39653,                0.28184,                0.87261,                0.80323,                0.92833,                0.84606,                0.68771,                 0.9333,                0.57947,                 1.2355,              0.0001585,              0.0001585,              0.0001585
                     87,                0.39021,                0.27339,                0.87107,                 0.8333,                0.93068,                 0.8568,                0.70033,                0.92776,                0.52491,                  1.247,              0.0001486,              0.0001486,              0.0001486
                     88,                0.39763,                0.26686,                0.86771,                0.80742,                0.93685,                 0.8522,                0.69567,                0.92918,                0.53791,                  1.243,              0.0001387,              0.0001387,              0.0001387
                     89,                0.39545,                0.27119,                0.87729,                0.78304,                0.93115,                0.84846,                0.69592,                0.91968,                0.57239,                  1.229,              0.0001288,              0.0001288,              0.0001288
                     90,                0.37592,                0.25637,                0.87036,                0.81048,                0.89641,                0.84092,                0.69031,                0.92741,                0.63907,                 1.2243,              0.0001189,              0.0001189,              0.0001189
                     91,                0.32679,                0.22166,                0.83544,                0.84937,                0.86517,                0.84219,                0.64611,                 0.8983,                  0.744,                 1.1235,               0.000109,               0.000109,               0.000109
                     92,                0.32477,                0.20676,                0.83403,                0.70971,                0.66764,                0.80263,                0.64382,                0.87454,                0.63754,                 1.1024,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 0.3107,                0.19972,                0.83092,                0.83857,                0.92857,                0.84907,                 0.6749,                0.95859,                0.61967,                 1.2343,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.30653,                0.19542,                0.82272,                0.81572,                0.90452,                0.84246,                0.67111,                0.94077,                  0.633,                 1.2387,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.30453,                0.19918,                0.82368,                0.80341,                0.90674,                0.85137,                0.68467,                 0.9252,                0.57308,                 1.2247,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.29464,                0.19159,                0.82495,                 0.7606,                0.93487,                0.80402,                0.66723,                0.93938,                0.57846,                 1.2378,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.28853,                0.18902,                0.81735,                0.72857,                0.93078,                0.80729,                 0.6522,                0.95617,                0.60308,                 1.2506,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.28908,                0.18565,                0.81514,                0.76933,                0.93699,                0.80864,                 0.6749,                0.94204,                0.55222,                 1.2572,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.28154,                0.18403,                0.81816,                0.75077,                 0.9411,                0.80869,                0.66003,                0.95335,                0.58333,                 1.2618,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.28082,                0.18492,                 0.8216,                0.76316,                0.93843,                0.81263,                0.67262,                0.95245,                0.57094,                  1.251,               1.99e-05,               1.99e-05,               1.99e-05
